Location,Positive,Negative,Neutral,Total
Bhopal,848,742,1166,2756
Chennai,636,530,1537,2703
Noida,530,212,477,1219
Srinagar,424,424,1113,1961
Ahmedabad,318,53,106,477
Surat,477,265,954,1696
Kanpur,265,106,159,530
Amritsar,477,106,530,1113
Kolkata,265,159,795,1219
Gurgaon,583,477,848,1908
Bangalore,1431,1590,2385,5406
Cochin,212,159,265,636
Lucknow,371,212,424,1007
Haridwar,265,212,212,689
Agra,53,106,53,212
Delhi,11713,7844,21518,41075
Jaipur,1007,424,1484,2915
Hyderabad,318,106,583,1007
Guwahati,53,106,636,795
Mumbai,2597,1696,4399,8692
Chandigarh,689,265,636,1590
Ahemdabad,106,106,265,477
Chandigadh,0,106,212,318
